"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothPos",2,30,0.1,82.37,16.36,17.28,3.43,80.14,1.88,0.33,20.69,4.01,77.44,15.71,79.58
"BothPos",2,30,0.2,85.37,17.08,14.62,2.92,79.99,4.5,0.9,19.49,3.93,76,15.16,80.03
"BothPos",2,30,0.3,75.46,15.04,24.11,4.81,80.07,12.36,2.54,31.61,6.42,56.04,11.37,80.04
"BothPos",2,40,0,70.26,13.89,30.42,6.02,80.22,0,0,29.38,6.04,70.62,13.88,79.66
"BothPos",2,40,0.1,68.65,13.46,30.28,5.94,80.39,1.92,0.37,27.15,5.29,70.92,14.37,79.89
"BothPos",2,40,0.2,78.2,15.52,22.61,4.49,80.15,6.57,1.32,32.22,6.55,61.21,12.33,80.08
"BothPos",2,40,0.3,72.39,14.55,27.42,5.51,79.9,11.03,2.17,30.4,6.15,58.57,11.62,80.36
"BothPos",2,50,0,65.19,13.14,33.54,6.76,79.85,0,0,37.63,7.51,62.37,12.31,80.16
"BothPos",2,50,0.1,75.79,14.99,26.03,5.15,80.23,2.14,0.47,32.81,6.67,65.05,12.86,79.78
"BothPos",2,50,0.2,57.92,11.52,40.71,8.09,80.12,6.54,1.36,40.15,8.27,53.31,10.45,80.07
"BothPos",2,50,0.3,68.4,13.81,31.3,6.32,79.81,12.18,2.28,33.43,6.86,54.39,10.75,80.25
"BothNeg",0.5,10,0,99.47,19.93,0.68,0.14,79.96,0,0,0.27,0.03,99.73,19.86,79.79
"BothNeg",0.5,10,0.1,99.64,20.02,0.4,0.08,79.91,1.17,0.24,0.63,0.12,98.2,19.48,80.01
"BothNeg",0.5,10,0.2,99.56,19.82,0.48,0.1,80.09,4.05,0.81,0.93,0.24,95.02,18.87,79.7
"BothNeg",0.5,10,0.3,99.22,19.89,0.88,0.18,79.96,7.67,1.56,0.44,0.06,91.89,18.19,79.99
"BothNeg",0.5,20,0,98.72,19.98,1.31,0.27,79.76,0,0,1.21,0.2,98.79,19.89,80
"BothNeg",0.5,20,0.1,98.48,19.55,1.44,0.29,80.15,1.43,0.24,1.34,0.25,97.23,19.03,80.21
"BothNeg",0.5,20,0.2,98.39,19.8,1.67,0.34,79.87,3.8,0.77,1.45,0.38,94.75,18.88,79.77
"BothNeg",0.5,20,0.3,98.59,19.94,1.45,0.29,79.77,8.4,1.64,0.8,0.13,90.8,17.93,79.8
"BothNeg",0.5,30,0,98.19,19.57,2,0.4,80.07,0,0,2.33,0.49,97.67,19.48,79.86
"BothNeg",0.5,30,0.1,98.26,19.57,1.96,0.39,80.08,1.28,0.25,1.61,0.3,97.11,19.55,80.06
"BothNeg",0.5,30,0.2,97.31,19.24,2.82,0.56,80.22,2.44,0.45,1.77,0.4,95.8,19.78,79.55
