"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothNeg",1.5,20,0.1,91.8,18.7,8.4,1.71,79.63,1.31,0.24,12.08,2.49,86.61,16.78,80.08
"BothNeg",1.5,20,0.2,91.8,18.7,8.4,1.71,79.63,4.25,0.81,12.13,2.5,83.62,16.19,80.08
"BothNeg",1.5,20,0.3,91.8,18.7,8.4,1.71,79.63,8.52,1.65,11.98,2.47,79.5,15.39,80.08
"BothNeg",1.5,30,0,85.91,17.2,13.83,2.77,79.98,0,0,13.41,2.71,86.59,17.41,80.2
"BothNeg",1.5,30,0.1,85.91,17.2,13.83,2.77,79.98,1.51,0.29,13.84,2.8,84.65,17.02,80.2
"BothNeg",1.5,30,0.2,85.91,17.2,13.83,2.77,79.98,4.68,0.91,14,2.83,81.31,16.36,80.19
"BothNeg",1.5,30,0.3,85.91,17.2,13.83,2.77,79.98,9.19,1.79,13.91,2.81,76.9,15.49,80.18
"BothNeg",1.5,40,0,78.88,15.61,21.12,4.18,80.21,0,0,17.18,3.47,82.82,16.49,79.81
"BothNeg",1.5,40,0.1,78.88,15.61,21.12,4.18,80.21,1.69,0.35,17.58,3.55,80.73,16.07,79.81
"BothNeg",1.5,40,0.2,78.88,15.61,21.12,4.18,80.21,5.06,1.04,17.64,3.56,77.31,15.38,79.82
"BothNeg",1.5,40,0.3,78.88,15.61,21.12,4.18,80.21,9.75,1.99,17.38,3.51,72.87,14.49,79.83
"BothNeg",1.5,50,0,76.42,15.22,23.01,4.58,80.09,0,0,23.6,4.83,76.4,15.37,79.62
"BothNeg",1.5,50,0.1,76.42,15.22,23.01,4.58,80.09,2.09,0.43,24.04,4.92,73.87,14.86,79.63
"BothNeg",1.5,50,0.2,76.42,15.22,23.01,4.58,80.09,5.67,1.16,24.04,4.92,70.29,14.13,79.63
"BothNeg",1.5,50,0.3,76.42,15.22,23.01,4.58,80.09,10.37,2.11,23.65,4.84,65.97,13.26,79.63
"BothNeg",2,10,0,89.34,17.59,10.58,2.08,80.31,0,0,5.12,1.05,94.88,19.26,79.9
"BothNeg",2,10,0.1,89.34,17.59,10.58,2.08,80.31,1.28,0.23,5.38,1.11,93.34,18.96,79.89
"BothNeg",2,10,0.2,89.34,17.59,10.58,2.08,80.31,4.36,0.83,5.53,1.14,90.11,18.31,79.88
"BothNeg",2,10,0.3,89.34,17.59,10.58,2.08,80.31,8.91,1.73,5.57,1.15,85.52,17.4,79.87
"BothNeg",2,20,0,86.23,17.57,14.03,2.86,79.62,0,0,19.31,3.95,80.69,15.6,80.11
"BothNeg",2,20,0.1,86.23,17.57,14.03,2.86,79.62,1.56,0.3,19.63,4.01,78.81,15.23,80.1
"BothNeg",2,20,0.2,86.23,17.57,14.03,2.86,79.62,4.67,0.9,19.6,4,75.73,14.63,80.1
"BothNeg",2,20,0.3,86.23,17.57,14.03,2.86,79.62,8.99,1.75,19.27,3.93,71.74,13.85,80.1
"BothNeg",2,30,0,77.51,15.53,22.18,4.44,79.97,0,0,21.73,4.37,78.27,15.75,80.2
"BothNeg",2,30,0.1,77.51,15.53,22.18,4.44,79.97,1.93,0.37,22.23,4.47,75.83,15.27,80.2
"BothNeg",2,30,0.2,77.51,15.53,22.18,4.44,79.97,5.45,1.06,22.3,4.49,72.25,14.55,80.19
"BothNeg",2,30,0.3,77.51,15.53,22.18,4.44,79.97,10.17,1.99,22,4.43,67.83,13.68,80.18
"BothNeg",2,40,0,67.75,13.4,32.25,6.38,80.22,0,0,27.02,5.46,72.98,14.52,79.81
"BothNeg",2,40,0.1,67.75,13.4,32.25,6.38,80.22,2.14,0.44,27.37,5.53,70.49,14.01,79.82
"BothNeg",2,40,0.2,67.75,13.4,32.25,6.38,80.22,5.91,1.21,27.19,5.49,66.9,13.29,79.83
"BothNeg",2,40,0.3,67.75,13.4,32.25,6.38,80.22,10.88,2.22,26.56,5.36,62.56,12.42,79.83
"BothNeg",2,50,0,64.71,12.89,34.64,6.9,80.08,0,0,35.66,7.29,64.34,12.92,79.63
"BothNeg",2,50,0.1,64.71,12.89,34.64,6.9,80.08,2.64,0.54,35.89,7.33,61.48,12.35,79.63
"BothNeg",2,50,0.2,64.71,12.89,34.64,6.9,80.08,6.62,1.35,35.5,7.25,57.88,11.62,79.64
"BothNeg",2,50,0.3,64.71,12.89,34.64,6.9,80.08,11.55,2.35,34.61,7.07,53.84,10.8,79.64
"AposBneg",0.5,10,0,99.42,19.55,0.86,0.17,80.34,0,0,0.3,0.07,99.7,20.24,79.9
"AposBneg",0.5,10,0.1,99.42,19.55,0.86,0.17,80.34,0.91,0.17,0.27,0.06,98.82,20.07,79.89
"AposBneg",0.5,10,0.2,99.42,19.55,0.86,0.17,80.34,3.58,0.69,0.23,0.05,96.19,19.54,79.88
"AposBneg",0.5,10,0.3,99.42,19.55,0.86,0.17,80.34,7.73,1.51,0.2,0.05,92.07,18.72,79.88
"AposBneg",0.5,20,0,99.16,20.18,1.3,0.26,79.65,0,0,1.41,0.31,98.59,19.16,80.06
"AposBneg",0.5,20,0.1,99.16,20.18,1.3,0.26,79.65,0.83,0.14,1.33,0.29,97.84,19.02,80.05
"AposBneg",0.5,20,0.2,99.16,20.18,1.3,0.26,79.65,3.42,0.63,1.24,0.28,95.34,18.54,80.04
"AposBneg",0.5,20,0.3,99.16,20.18,1.3,0.26,79.65,7.52,1.42,1.12,0.25,91.36,17.76,80.03
"AposBneg",0.5,30,0,97.55,19.49,2.74,0.55,80.02,0,0,1.6,0.34,98.4,19.77,80.19
"AposBneg",0.5,30,0.1,97.55,19.49,2.74,0.55,80.02,0.74,0.14,1.48,0.31,97.78,19.65,80.19
"AposBneg",0.5,30,0.2,97.55,19.49,2.74,0.55,80.02,3.27,0.64,1.35,0.29,95.38,19.17,80.19
"AposBneg",0.5,30,0.3,97.55,19.49,2.74,0.55,80.02,7.36,1.45,1.2,0.26,91.45,18.39,80.19
"AposBneg",0.5,40,0,97.94,19.44,2.66,0.53,80.16,0,0,2.19,0.44,97.81,19.51,79.8
"AposBneg",0.5,40,0.1,97.94,19.44,2.66,0.53,80.16,0.73,0.15,2.07,0.42,97.2,19.38,79.8
"AposBneg",0.5,40,0.2,97.94,19.44,2.66,0.53,80.16,3.22,0.66,1.92,0.39,94.86,18.91,79.81
"AposBneg",0.5,40,0.3,97.94,19.44,2.66,0.53,80.16,7.23,1.48,1.75,0.35,91.02,18.14,79.81
"AposBneg",0.5,50,0,96.66,19.24,3.91,0.78,80.1,0,0,3.13,0.65,96.87,19.53,79.61
"AposBneg",0.5,50,0.1,96.66,19.24,3.91,0.78,80.1,0.81,0.16,2.95,0.61,96.23,19.41,79.61
"AposBneg",0.5,50,0.2,96.66,19.24,3.91,0.78,80.1,3.37,0.67,2.73,0.56,93.9,18.94,79.61
"AposBneg",0.5,50,0.3,96.66,19.24,3.91,0.78,80.1,7.4,1.49,2.48,0.51,90.12,18.17,79.61
"AposBneg",1,10,0,97.18,19.11,3.36,0.66,80.33,0,0,1.28,0.27,98.72,20.04,79.9
"AposBneg",1,10,0.1,97.18,19.11,3.36,0.66,80.33,0.84,0.15,1.16,0.25,98,19.9,79.89
"AposBneg",1,10,0.2,97.18,19.11,3.36,0.66,80.33,3.48,0.67,1.01,0.22,95.5,19.4,79.89
"AposBneg",1,10,0.3,97.18,19.11,3.36,0.66,80.33,7.65,1.49,0.86,0.19,91.49,18.6,79.88
"AposBneg",1,20,0,95.86,19.51,5.03,1.02,79.65,0,0,5.56,1.16,94.44,18.33,80.07
"AposBneg",1,20,0.1,95.86,19.51,5.03,1.02,79.65,0.62,0.1,5.26,1.11,94.12,18.27,80.06
"AposBneg",1,20,0.2,95.86,19.51,5.03,1.02,79.65,3.02,0.55,4.88,1.03,92.11,17.89,80.05
"AposBneg",1,20,0.3,95.86,19.51,5.03,1.02,79.65,6.97,1.31,4.43,0.94,88.6,17.2,80.05
"AposBneg",1,30,0,90.39,18.07,10.14,2.03,80.01,0,0,6.35,1.3,93.65,18.82,80.2
"AposBneg",1,30,0.1,90.39,18.07,10.14,2.03,80.01,0.5,0.1,5.96,1.22,93.54,18.8,80.2
"AposBneg",1,30,0.2,90.39,18.07,10.14,2.03,80.01,2.89,0.57,5.46,1.12,91.64,18.42,80.2
"AposBneg",1,30,0.3,90.39,18.07,10.14,2.03,80.01,6.93,1.37,4.9,1.01,88.17,17.73,80.19
"AposBneg",1,40,0,91.21,18.11,9.91,1.97,80.14,0,0,8.38,1.7,91.62,18.26,79.8
"AposBneg",1,40,0.1,91.21,18.11,9.91,1.97,80.14,0.41,0.09,7.94,1.61,91.65,18.27,79.8
"AposBneg",1,40,0.2,91.21,18.11,9.91,1.97,80.14,2.63,0.54,7.37,1.49,90,17.93,79.81
"AposBneg",1,40,0.3,91.21,18.11,9.91,1.97,80.14,6.48,1.32,6.69,1.35,86.84,17.3,79.81
"AposBneg",1,50,0,86.94,17.3,14.08,2.8,80.1,0,0,11.9,2.44,88.1,17.75,79.62
"AposBneg",1,50,0.1,86.94,17.3,14.08,2.8,80.1,0.38,0.07,11.32,2.32,88.29,17.79,79.61
"AposBneg",1,50,0.2,86.94,17.3,14.08,2.8,80.1,2.59,0.51,10.55,2.17,86.86,17.51,79.61
"AposBneg",1,50,0.3,86.94,17.3,14.08,2.8,80.1,6.41,1.28,9.63,1.98,83.97,16.92,79.61
"AposBneg",1.5,10,0,93.51,18.4,7.28,1.43,80.32,0,0,2.91,0.6,97.09,19.71,79.9
"AposBneg",1.5,10,0.1,93.51,18.4,7.28,1.43,80.32,0.73,0.13,2.63,0.55,96.64,19.62,79.9
"AposBneg",1.5,10,0.2,93.51,18.4,7.28,1.43,80.32,3.31,0.63,2.32,0.49,94.37,19.17,79.89
"AposBneg",1.5,10,0.3,93.51,18.4,7.28,1.43,80.32,7.49,1.46,1.98,0.42,90.54,18.4,79.88
"AposBneg",1.5,20,0,90.57,18.44,10.69,2.18,79.64,0,0,11.8,2.43,88.2,17.08,80.09
"AposBneg",1.5,20,0.1,90.57,18.44,10.69,2.18,79.64,0.29,0.03,11.23,2.32,88.48,17.15,80.08
"AposBneg",1.5,20,0.2,90.57,18.44,10.69,2.18,79.64,2.38,0.42,10.46,2.17,87.16,16.9,80.07
"AposBneg",1.5,20,0.3,90.57,18.44,10.69,2.18,79.64,6.09,1.14,9.54,1.98,84.37,16.36,80.06
"AposBneg",1.5,30,0,80.41,16.08,20.3,4.06,80,0,0,13.41,2.71,86.59,17.41,80.2
"AposBneg",1.5,30,0.1,80.41,16.08,20.3,4.06,80,0.15,0.03,12.7,2.57,87.15,17.52,80.2
"AposBneg",1.5,30,0.2,80.41,16.08,20.3,4.06,80,2.31,0.46,11.74,2.38,85.95,17.28,80.2
"AposBneg",1.5,30,0.3,80.41,16.08,20.3,4.06,80,6.27,1.24,10.59,2.15,83.13,16.72,80.2
"AposBneg",1.5,40,0,81.56,16.21,19.94,3.96,80.12,0,0,17.18,3.47,82.82,16.49,79.81
